Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.00000000000003
7,7,99.99914391801171
8,8,95.6438269845928
9,9,94.39757740228663
10,10,96.15683581347594
11,11,97.96958935315784
12,12,98.28060458521084
13,13,98.46224816540868
14,14,98.22584661540422
15,15,98.15012404756025
16,16,97.76105280486172
17,17,96.64490940574859
18,18,93.54672596317442
19,19,93.1955130405884
20,20,93.8610663605411
21,21,93.84066168296829
22,22,94.07022128529933
23,23,94.45317962019004
24,24,94.71591116887704
25,25,95.23927964269227
26,26,95.80619158770769
27,27,96.28309322818068
28,28,96.70173255390003
29,29,97.27606520664239
30,30,100.0
