hour,numPassengers,vkt
8,0,646.176
8,1,28470.748000000007
9,0,45.9
9,1,9371.158
10,0,1107.648
10,1,22555.246
11,0,2194.927
11,1,41217.217000000004
12,0,2480.1679999999997
12,1,37966.116
13,0,9449.126000000004
13,1,144826.57700000005
14,0,3418.957000000001
14,1,133900.04400000002
15,0,3512.8579999999984
15,1,369879.528
16,0,13817.02700000001
16,1,580819.721
17,0,18978.47199999999
17,1,752895.8979999998
18,0,21136.306999999983
18,1,1031061.1599999999
19,0,32069.470999999987
19,1,951953.169
20,0,23270.411999999997
20,1,1063611.7699999998
21,0,30393.999999999978
21,1,1131012.5819999995
22,0,17915.751000000004
22,1,899239.4480000004
23,0,21120.042
23,1,608855.8160000003
24,0,34346.45199999999
24,1,1411098.1469999985
25,0,4666.351000000001
25,1,472987.86799999996
26,0,1544.099
26,1,77137.83499999999
27,0,1647.741
27,1,4425.995
28,0,4318.302
28,1,19272.215
29,0,266.652
29,1,7937.299
