hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,849,0,0,0,2,0
9,4697,5,1,15,83,11
10,2231,2,0,6,71,3
11,468,0,0,11,45,8
12,482,0,0,12,33,14
13,560,2,0,29,49,37
14,631,0,0,41,94,68
15,692,1,27,53,170,84
16,593,1,4,77,257,109
17,752,0,96,151,364,102
18,2149,1,6,198,309,101
19,2985,3,126,175,472,109
20,2469,0,5,187,573,86
21,1366,1,85,184,535,71
22,752,0,3,160,420,55
23,291,0,37,131,386,74
24,76,0,1,89,275,32
25,39,0,8,223,581,0
26,0,0,0,20,36,0
27,1,0,0,6,2,0
28,3,0,0,3,0,0
29,0,0,0,2,0,0
30,7,0,0,1,1,0
