Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,99.99999999999997
8,8,95.72358395077299
9,9,88.24384170989448
10,10,88.17288894954086
11,11,88.42256857871429
12,12,89.09843005513632
13,13,89.22419881926703
14,14,89.32832672147195
15,15,89.60182295357335
16,16,89.34774675354076
17,17,89.18657551535314
18,18,87.42286948653096
19,19,86.28802580917278
20,20,85.96360755182225
21,21,86.14954875337769
22,22,86.76011886451137
23,23,86.98851810719763
24,24,87.45221193898878
25,25,87.87128989400489
26,26,88.16066314006224
27,27,88.8114956277214
28,28,89.50053412525372
29,29,91.57058920223184
30,30,100.0
