Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,99.99999999999999
7,7,99.99036263053715
8,8,95.29658325627426
9,9,87.90419236842276
10,10,88.07666555769374
11,11,88.52715834739058
12,12,88.66727396614812
13,13,89.29493127977143
14,14,89.28730686859498
15,15,89.05457780151157
16,16,89.42508044192672
17,17,89.17909556172782
18,18,87.4948931494176
19,19,86.50675040307847
20,20,86.35482637884931
21,21,86.89079764813916
22,22,87.49126708272529
23,23,87.42655476859743
24,24,88.01373340194793
25,25,88.62450817653868
26,26,88.5026616763065
27,27,89.1562434330955
28,28,90.14678839798357
29,29,92.49756181750958
30,30,100.0
