hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,820,0,0,7,0,0
9,4665,8,0,13,85,18
10,2264,1,0,6,79,3
11,460,0,0,6,50,5
12,492,1,0,18,33,7
13,537,0,0,35,66,17
14,623,0,0,42,130,40
15,717,2,0,46,216,56
16,593,0,0,75,316,74
17,741,1,31,120,433,81
18,2065,3,0,186,394,90
19,3013,1,45,181,540,75
20,2445,0,0,162,643,90
21,1437,0,47,161,597,65
22,753,0,0,121,464,57
23,294,1,11,96,414,60
24,93,0,0,83,332,33
25,44,0,2,211,622,0
26,0,0,0,11,15,0
27,1,0,0,4,0,0
28,0,0,0,2,0,0
29,1,0,0,2,0,0
30,8,0,0,0,1,0
