hour,numPassengers,vkt
7,0,101.021
7,1,990.52
8,0,8255.23
8,1,57569.507000000005
9,0,10287.001999999999
9,1,40319.458999999995
10,0,6902.2480000000005
10,1,30685.310999999998
11,0,3526.111
11,1,15281.89
12,0,1529.752
12,1,20888.693
13,0,569.239
13,1,10143.874
14,0,4532.439
14,1,30044.245
15,0,767.6239999999999
15,1,4274.5740000000005
16,0,5736.4800000000005
16,1,28712.352
17,0,2190.0389999999998
17,1,34291.174
18,0,8051.112999999999
18,1,74256.373
19,0,5119.574
19,1,36755.101
20,0,3161.3730000000005
20,1,26047.806999999997
21,0,2279.902
21,1,32503.281
22,0,20.166
22,1,13440.739
23,0,0.0
23,1,3876.058
