hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3,0,0,0,0,0
8,825,0,0,4,0,1
9,4625,5,0,14,80,9
10,2303,3,0,5,78,0
11,482,0,0,8,42,7
12,479,0,0,21,43,3
13,545,0,0,34,66,12
14,611,0,0,33,143,32
15,702,0,0,42,226,42
16,614,0,0,79,329,58
17,754,0,16,131,459,60
18,2041,0,1,175,411,67
19,2966,0,30,159,557,63
20,2446,0,1,157,660,73
21,1455,0,34,147,616,60
22,799,0,0,118,496,49
23,318,0,12,102,436,43
24,87,0,0,83,307,38
25,51,0,4,178,685,0
26,0,0,0,19,15,0
27,1,0,0,5,0,0
28,0,0,0,3,0,0
29,1,0,0,1,1,0
30,7,0,0,0,1,0
