Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,99.99063099656824
8,8,95.88229883413157
9,9,88.0792573817273
10,10,87.98613140196198
11,11,88.48038199619754
12,12,88.7813500462279
13,13,89.24788875431196
14,14,89.29736420763138
15,15,89.24173494174143
16,16,89.6342268842079
17,17,89.24932426819863
18,18,87.593571116355
19,19,86.3219365831243
20,20,85.76009159305966
21,21,85.69047713304032
22,22,86.5514244829529
23,23,87.07322004150329
24,24,87.57507499506481
25,25,87.89795518507279
26,26,88.60465213178983
27,27,89.17871207066783
28,28,90.03946525434642
29,29,92.31616838217859
30,30,100.0
