hour,numPassengers,vkt
7,0,0.011
7,1,3231.283
8,0,356.188
8,1,25052.141000000003
9,0,679.978
9,1,4631.974
10,0,527.4259999999999
10,1,24852.427
11,0,488.106
11,1,47978.205
12,0,6349.866
12,1,86665.40999999999
13,0,3936.7420000000006
13,1,83156.82499999997
14,0,3025.9059999999995
14,1,149531.39400000003
15,0,5314.192999999999
15,1,292024.60000000003
16,0,12371.590999999997
16,1,438728.519
17,0,26133.86499999999
17,1,810985.6909999998
18,0,25931.048999999977
18,1,779783.6229999999
19,0,21532.192000000003
19,1,819456.2259999999
20,0,24354.722000000005
20,1,772641.5249999991
21,0,27256.666999999976
21,1,851669.3919999998
22,0,18742.372000000007
22,1,737664.9540000007
23,0,14532.902999999997
23,1,530546.9919999999
24,0,73318.77399999998
24,1,1366748.0610000005
25,0,18179.183999999997
25,1,305581.10499999975
26,0,316.925
26,1,66656.301
27,0,1257.213
27,1,7744.662
28,0,9263.232
28,1,12009.293
29,0,0.0
29,1,4206.512
