hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,855,0,0,2,1,1
9,4670,5,0,11,74,8
10,2265,6,0,4,68,2
11,472,0,0,8,48,9
12,470,0,0,18,36,10
13,566,1,0,33,60,25
14,629,1,0,34,107,65
15,703,1,9,51,199,58
16,600,0,0,75,303,84
17,759,0,58,139,393,95
18,2095,1,2,189,340,105
19,3028,0,68,194,496,103
20,2428,1,1,164,610,90
21,1406,0,71,165,544,72
22,763,0,1,154,459,58
23,287,0,28,121,394,59
24,89,0,0,92,289,34
25,39,0,9,201,612,0
26,0,0,0,16,16,0
27,2,0,0,5,1,0
28,3,0,0,3,0,0
29,0,0,0,1,0,0
30,7,0,0,0,2,0
