timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
8,488.0,0.0,0.0,1,0,0
11,442.0,0.0,0.0,1,0,0
16,477.0,0.0,0.0,2,0,0
20,477.0,35.0,0.0,8,0,0
21,477.0,0.0,0.0,1,0,0
18,477.0,1.0,0.0,3,0,0
16,311.0,14.666666666666666,20.0,3,0,0
18,311.0,33.0,33.0,2,0,0
14,311.0,0.0,0.0,1,0,0
24,357.0,23.0,7.0,3,0,0
23,311.0,41.0,41.0,1,0,0
23,357.0,0.0,0.0,1,0,0
26,311.0,746.0,746.0,1,0,0
21,357.0,0.0,0.0,1,0,0
20,357.0,26.0,26.0,1,0,0
19,311.0,694.0,694.0,1,0,0
20,248.0,625.0,625.0,1,0,0
24,455.0,337.0,337.0,1,0,0
21,455.0,2.0,2.0,1,0,0
16,300.0,42.75,30.5,4,0,0
18,300.0,24.0,30.0,5,0,0
17,300.0,46.22222222222222,30.0,9,0,0
11,346.0,18.0,18.0,1,0,0
10,346.0,20.0,20.0,1,0,0
24,346.0,30.0,30.0,1,0,0
24,300.0,140.5,140.5,2,0,0
23,346.0,30.0,30.0,1,0,0
22,346.0,11.0,11.0,1,0,0
20,300.0,30.0,30.0,1,0,0
19,300.0,30.0,30.0,3,0,0
22,300.0,0.0,0.0,1,0,0
21,300.0,0.0,0.0,3,0,0
17,444.0,11.0,11.0,1,0,0
9,311.0,105.0,105.0,1,0,0
18,444.0,0.0,0.0,1,0,0
15,290.0,0.0,0.0,1,0,0
19,290.0,164.5,164.5,2,0,0
18,290.0,73.0,73.0,1,0,0
23,335.0,171.0,171.0,1,0,0
24,335.0,199.66666666666666,181.0,3,0,0
21,335.0,5.0,5.0,2,0,0
22,335.0,0.0,0.0,1,0,0
20,335.0,0.0,0.0,4,0,0
18,335.0,2.0,2.0,1,0,0
23,479.0,0.0,0.0,1,0,0
18,479.0,0.0,0.0,5,0,0
16,479.0,0.0,0.0,2,0,0
14,422.0,14.0,14.0,4,0,0
15,422.0,21.333333333333332,28.0,3,0,0
16,422.0,4.0,4.0,4,0,0
17,422.0,19.142857142857142,0.0,7,0,0
18,422.0,14.666666666666666,8.0,3,0,0
19,422.0,16.25,8.0,8,0,0
21,422.0,0.0,0.0,1,0,0
10,359.0,0.0,0.0,1,0,0
16,359.0,64.66666666666667,65.0,3,0,0
21,457.0,13.0,13.0,2,0,0
23,457.0,27.0,27.0,1,0,0
16,457.0,1.0,1.0,2,0,0
19,457.0,0.0,0.0,1,0,0
18,457.0,0.0,0.0,2,0,0
16,302.0,18.0,18.0,1,0,0
25,446.0,1151.0,1151.0,2,0,0
24,446.0,33.0,26.0,4,0,0
27,446.0,138.0,138.0,1,0,0
22,302.0,72.0,72.0,1,0,0
24,302.0,220.0,261.0,3,0,0
23,302.0,18.0,18.0,1,0,0
18,302.0,90.0,90.0,2,0,0
17,302.0,12.5,16.0,4,0,0
20,302.0,40.666666666666664,55.0,3,0,0
19,302.0,0.0,0.0,1,0,0
12,446.0,7.0,7.0,2,0,0
15,446.0,0.0,0.0,2,0,0
14,446.0,0.0,0.0,1,0,0
8,446.0,0.0,0.0,1,0,0
11,446.0,0.0,0.0,2,0,0
15,400.0,0.0,0.0,1,0,0
21,446.0,9.333333333333334,4.0,3,0,0
21,400.0,60.0,60.0,1,0,0
20,446.0,6.444444444444445,3.0,9,0,0
20,400.0,12.0,12.0,1,0,0
19,400.0,77.0,84.0,3,0,0
23,446.0,14.0,14.0,2,0,0
18,400.0,85.0,85.0,1,0,0
22,446.0,9.166666666666666,1.0,6,0,0
17,446.0,0.0,0.0,1,0,0
16,446.0,1.25,0.5,4,0,0
19,446.0,3.0,4.0,3,0,0
18,446.0,2.0,2.0,1,0,0
21,375.0,5.0,5.0,1,0,0
14,375.0,0.0,0.0,1,0,0
15,375.0,0.0,0.0,3,0,0
16,375.0,7.857142857142857,0.0,7,0,0
17,375.0,0.0,0.0,3,0,0
18,375.0,17.0,25.0,3,0,0
19,375.0,21.0,21.0,1,0,0
20,375.0,0.0,0.0,2,0,0
14,340.0,3.0,3.0,1,0,0
24,473.0,0.0,0.0,1,0,0
20,409.0,82.0,82.0,1,0,0
19,409.0,29.333333333333332,6.0,3,0,0
18,409.0,11.666666666666666,0.0,6,0,0
17,409.0,0.0,0.0,5,0,0
21,409.0,101.0,101.0,1,0,0
15,364.0,0.0,0.0,1,0,0
17,364.0,20.0,20.0,1,0,0
18,364.0,28.333333333333332,20.0,3,0,0
11,375.0,0.0,0.0,2,0,0
12,375.0,0.0,0.0,1,0,0
16,409.0,3.0,3.0,4,0,0
15,409.0,0.0,0.0,3,0,0
20,353.0,1.0,1.0,2,0,0
19,353.0,1.0,1.0,2,0,0
18,353.0,0.0,0.0,3,0,0
17,353.0,0.0,0.0,1,0,0
24,353.0,151.66666666666666,85.0,3,0,0
23,353.0,49.0,49.0,2,0,0
22,353.0,2.0,2.0,1,0,0
21,353.0,118.66666666666667,20.0,3,0,0
15,486.0,4.0,4.0,1,0,0
14,486.0,4.0,4.0,1,0,0
19,377.0,7.5,7.5,4,0,0
19,331.0,12.333333333333334,2.0,3,0,0
20,377.0,263.3333333333333,15.0,3,0,0
20,331.0,42.0,42.0,1,0,0
21,377.0,85.5,85.5,2,0,0
18,331.0,2.0,2.0,1,0,0
22,377.0,114.0,114.0,1,0,0
24,377.0,212.71428571428572,167.0,7,0,0
15,377.0,64.0,64.0,1,0,0
16,377.0,0.0,0.0,1,0,0
24,331.0,38.0,42.0,4,0,0
21,331.0,42.0,42.0,1,0,0
18,377.0,0.0,0.0,3,0,0
22,331.0,0.0,0.0,1,0,0
19,320.0,52.666666666666664,79.0,3,0,0
20,320.0,56.5,56.5,2,0,0
17,320.0,33.25,20.5,4,0,0
18,320.0,315.5,38.0,4,0,0
15,320.0,39.5,39.5,2,0,0
13,320.0,40.5,40.5,2,0,0
14,320.0,115.0,115.0,1,0,0
23,320.0,0.0,0.0,3,0,0
24,320.0,20.0,20.0,2,0,0
21,320.0,137.5,100.5,4,0,0
19,464.0,0.0,0.0,1,0,0
17,464.0,25.0,25.0,1,0,0
13,464.0,16.0,16.0,1,0,0
26,464.0,288.0,288.0,1,0,0
23,464.0,0.0,0.0,1,0,0
21,464.0,199.0,199.0,2,0,0
18,355.0,43.0,43.0,1,0,0
17,355.0,0.0,0.0,1,0,0
24,355.0,0.0,0.0,1,0,0
23,355.0,4.0,4.0,1,0,0
22,355.0,0.0,0.0,1,0,0
21,355.0,55.0,55.0,1,0,0
20,355.0,0.0,0.0,1,0,0
19,355.0,410.5,410.5,2,0,0
17,442.0,0.0,0.0,3,0,0
17,488.0,0.0,0.0,1,0,0
16,442.0,0.0,0.0,7,0,0
15,488.0,0.0,0.0,1,0,0
19,442.0,0.0,0.0,2,0,0
18,442.0,0.0,0.0,3,0,0
15,442.0,0.0,0.0,2,0,0
14,442.0,0.0,0.0,2,0,0
8,355.0,77.0,77.0,1,0,0
20,488.0,0.0,0.0,1,0,0
19,488.0,0.0,0.0,7,0,0
23,442.0,0.0,0.0,1,0,0
18,488.0,0.0,0.0,8,0,0
24,439.0,9.0,0.0,10,0,0
25,439.0,0.0,0.0,2,0,0
20,439.0,10.666666666666666,0.0,3,0,0
21,439.0,0.0,0.0,6,0,0
22,439.0,0.0,0.0,7,0,0
23,439.0,19.333333333333332,0.0,3,0,0
29,439.0,202.0,202.0,1,0,0
16,439.0,58.0,58.0,1,0,0
17,285.0,22.0,22.0,1,0,0
17,439.0,14.5,0.0,4,0,0
18,285.0,22.0,22.0,1,0,0
15,285.0,0.0,0.0,1,0,0
18,439.0,0.0,0.0,3,0,0
16,285.0,0.0,0.0,1,0,0
19,439.0,0.0,0.0,5,0,0
19,285.0,22.0,22.0,1,0,0
20,285.0,35.5,35.5,2,0,0
16,383.0,0.0,0.0,2,0,0
17,383.0,2.0,2.0,1,0,0
19,383.0,2.0,2.0,2,0,0
8,319.0,13.0,13.0,2,0,0
20,417.0,0.0,0.0,1,0,0
14,274.0,0.0,0.0,1,0,0
16,319.0,90.0,94.0,3,0,0
16,372.0,0.0,0.0,2,0,0
17,372.0,26.5,26.5,2,0,0
18,372.0,32.666666666666664,45.0,3,0,0
18,319.0,0.0,0.0,1,0,0
20,372.0,0.0,0.0,2,0,0
22,372.0,0.0,0.0,1,0,0
23,372.0,0.0,0.0,1,0,0
23,470.0,0.0,0.0,1,0,0
24,319.0,0.0,0.0,1,0,0
24,470.0,498.0,450.0,8,0,0
21,470.0,182.0,182.0,4,0,0
22,470.0,121.33333333333333,29.0,3,0,0
25,319.0,48.5,48.5,2,0,0
20,319.0,8.0,0.0,3,0,0
19,319.0,38.666666666666664,58.0,3,0,0
20,470.0,73.75,72.0,4,0,0
14,383.0,0.0,0.0,1,0,0
22,319.0,2.75,0.0,4,0,0
15,383.0,0.0,0.0,2,0,0
18,470.0,270.0,270.0,1,0,0
21,319.0,5.5,5.5,2,0,0
19,417.0,0.0,0.0,1,0,0
17,417.0,13.0,13.0,1,0,0
25,470.0,883.0,883.0,3,0,0
16,417.0,0.0,0.0,1,0,0
23,361.0,36.0,36.0,2,0,0
8,470.0,9.0,9.0,2,0,0
21,361.0,0.0,0.0,1,0,0
19,361.0,218.5,218.5,2,0,0
17,361.0,18.0,18.0,1,0,0
16,361.0,191.5,191.5,2,0,0
16,470.0,0.0,0.0,2,0,0
23,274.0,50.5,50.5,2,0,0
24,274.0,88.0,88.0,2,0,0
17,274.0,0.0,0.0,1,0,0
22,274.0,57.5,57.5,2,0,0
20,274.0,115.0,115.0,2,0,0
19,350.0,45.0,45.0,1,0,0
16,396.0,0.0,0.0,1,0,0
21,396.0,198.0,198.0,1,0,0
24,350.0,0.0,0.0,1,0,0
13,361.0,389.0,389.0,1,0,0
17,287.0,0.0,0.0,1,0,0
18,287.0,0.0,0.0,2,0,0
22,374.0,0.0,0.0,1,0,0
19,419.0,0.0,0.0,3,0,0
18,419.0,0.0,0.0,1,0,0
22,419.0,0.0,0.0,1,0,0
19,374.0,148.0,148.0,1,0,0
10,419.0,0.0,0.0,1,0,0
15,419.0,29.0,29.0,1,0,0
21,408.0,0.0,0.0,2,0,0
22,363.0,11.0,11.0,1,0,0
20,408.0,0.0,0.0,3,0,0
19,408.0,28.4,0.0,5,0,0
18,408.0,21.666666666666668,7.0,9,0,0
24,408.0,3.0,1.0,5,0,0
23,408.0,0.0,0.0,3,0,0
22,408.0,2.3333333333333335,0.0,3,0,0
21,461.0,7.636363636363637,0.0,11,0,0
22,461.0,0.0,0.0,16,0,0
19,461.0,0.5,0.5,2,0,0
20,461.0,0.0,0.0,3,0,0
17,461.0,202.0,202.0,1,0,0
18,461.0,0.0,0.0,1,0,0
13,408.0,0.0,0.0,1,0,0
17,408.0,0.0,0.0,1,0,0
16,408.0,41.666666666666664,38.0,3,0,0
15,408.0,75.0,75.0,1,0,0
23,461.0,0.0,0.0,16,0,0
14,408.0,1.0,1.0,1,0,0
24,461.0,0.0,0.0,19,0,0
14,292.0,0.0,0.0,1,0,0
18,292.0,61.2,83.0,5,0,0
17,292.0,46.0,50.0,3,0,0
16,292.0,46.0,46.0,2,0,0
15,292.0,0.0,0.0,2,0,0
21,390.0,0.0,0.0,1,0,0
21,337.0,0.0,0.0,1,0,0
20,390.0,47.666666666666664,44.0,3,0,0
19,337.0,0.0,0.0,2,0,0
20,337.0,275.0,0.0,3,0,0
17,337.0,0.0,0.0,1,0,0
18,337.0,0.0,0.0,3,0,0
7,292.0,169.0,169.0,1,0,0
16,337.0,0.0,0.0,2,0,0
13,435.0,77.0,77.0,1,0,0
14,435.0,215.0,215.0,1,0,0
15,435.0,226.0,226.0,1,0,0
23,337.0,0.0,0.0,2,0,0
8,302.0,3.0,3.0,1,0,0
23,435.0,2.0,2.0,1,0,0
17,435.0,413.0,77.0,3,0,0
12,326.0,197.0,197.0,1,0,0
10,326.0,0.0,0.0,1,0,0
22,326.0,113.0,113.0,1,0,0
19,326.0,113.0,113.0,1,0,0
20,326.0,113.0,113.0,1,0,0
18,326.0,82.0,82.0,2,0,0
17,390.0,0.0,0.0,1,0,0
19,390.0,89.0,89.0,1,0,0
23,326.0,113.0,113.0,3,0,0
18,390.0,51.0,45.0,3,0,0
24,326.0,784.0,784.0,2,0,0
22,292.0,115.0,131.0,3,0,0
21,292.0,93.57142857142857,131.0,7,0,0
20,292.0,85.0909090909091,88.0,11,0,0
19,292.0,98.66666666666667,142.0,3,0,0
24,292.0,147.0,131.0,8,0,0
23,292.0,97.0,131.0,5,0,0
23,459.0,0.0,0.0,4,0,0
22,459.0,23.857142857142858,0.0,7,0,0
24,459.0,41.5,0.0,8,0,0
7,459.0,0.0,0.0,1,0,0
19,459.0,12.5,12.5,2,0,0
18,459.0,0.0,0.0,6,0,0
18,413.0,0.0,0.0,1,0,0
17,413.0,0.0,0.0,1,0,0
21,459.0,0.0,0.0,3,0,0
20,459.0,0.0,0.0,4,0,0
17,459.0,175.0,175.0,1,0,0
21,413.0,0.0,0.0,1,0,0
20,413.0,3.0,3.0,1,0,0
12,304.0,85.0,85.0,1,0,0
27,448.0,0.0,0.0,1,0,0
14,304.0,97.0,97.0,1,0,0
24,402.0,150.72,236.0,25,0,0
23,448.0,0.0,0.0,3,0,0
22,448.0,0.0,0.0,2,0,0
24,448.0,0.0,0.0,1,0,0
20,304.0,0.0,0.0,2,0,0
19,304.0,0.0,0.0,3,0,0
16,304.0,180.0,180.0,2,0,0
15,304.0,95.5,95.5,2,0,0
18,304.0,18.0,18.0,1,0,0
17,304.0,166.33333333333334,192.0,3,0,0
14,402.0,2.0,2.0,3,0,0
19,402.0,0.0,0.0,4,0,0
18,402.0,25.0,25.0,1,0,0
18,448.0,0.0,0.0,1,0,0
17,402.0,1.0,1.0,2,0,0
21,448.0,0.0,0.0,1,0,0
16,402.0,0.8,0.0,5,0,0
20,448.0,0.0,0.0,3,0,0
23,402.0,520.6363636363636,429.0,11,0,0
22,402.0,82.25,104.5,4,0,0
17,448.0,5.0,5.0,1,0,0
21,402.0,137.375,117.0,16,0,0
16,448.0,5.0,5.0,1,0,0
20,402.0,0.0,0.0,6,0,0
20,339.0,92.0,92.0,1,0,0
22,339.0,692.0,692.0,1,0,0
19,283.0,147.66666666666666,117.0,3,0,0
18,283.0,0.0,0.0,1,0,0
23,283.0,117.0,117.0,1,0,0
21,283.0,387.0,387.0,1,0,0
22,283.0,0.0,0.0,1,0,0
11,328.0,0.0,0.0,1,0,0
22,426.0,14.666666666666666,22.0,3,0,0
23,426.0,0.0,0.0,2,0,0
24,426.0,0.0,0.0,2,0,0
19,328.0,0.0,0.0,1,0,0
20,328.0,34.0,34.0,1,0,0
24,328.0,71.0,71.0,1,0,0
21,328.0,44.5,44.5,2,0,0
22,328.0,147.5,131.0,4,0,0
18,426.0,0.0,0.0,3,0,0
19,426.0,0.0,0.0,1,0,0
21,426.0,0.0,0.0,1,0,0
16,426.0,0.0,0.0,1,0,0
20,370.0,2.6,0.0,5,0,0
21,370.0,0.0,0.0,4,0,0
22,370.0,11.428571428571429,0.0,7,0,0
23,370.0,40.0,40.0,6,0,0
24,370.0,41.22222222222222,40.0,9,0,0
20,306.0,445.25,576.0,4,0,0
21,306.0,193.0,193.0,2,0,0
16,370.0,0.0,0.0,1,0,0
17,370.0,0.0,0.0,3,0,0
16,404.0,0.0,0.0,1,0,0
14,404.0,6.0,6.0,1,0,0
18,247.0,380.0,380.0,1,0,0
17,247.0,130.5,130.5,2,0,0
18,454.0,1.0,1.0,2,0,0
17,454.0,22.0,22.0,1,0,0
19,247.0,15.5,15.5,2,0,0
22,247.0,2.0,2.0,1,0,0
11,247.0,29.0,29.0,1,0,0
13,247.0,29.0,29.0,1,0,0
19,454.0,7.0,7.0,1,0,0
16,247.0,0.0,0.0,1,0,0
24,345.0,31.0,31.0,1,0,0
23,345.0,0.0,0.0,1,0,0
16,489.0,0.0,0.0,1,0,0
22,489.0,0.0,0.0,1,0,0
24,334.0,115.0,115.0,1,0,0
22,334.0,0.0,0.0,1,0,0
23,334.0,0.0,0.0,1,0,0
20,334.0,137.0,137.0,1,0,0
21,334.0,0.0,0.0,2,0,0
19,334.0,183.5,183.5,2,0,0
15,432.0,0.0,0.0,7,0,0
16,432.0,0.0,0.0,2,0,0
16,478.0,0.0,0.0,1,0,0
17,432.0,0.0,0.0,2,0,0
14,478.0,0.0,0.0,1,0,0
