hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,848,1,0,3,1,1
9,4707,12,0,12,99,15
10,2195,10,0,3,82,3
11,450,6,0,11,46,15
12,489,2,0,11,33,21
13,535,0,0,29,46,52
14,623,3,2,30,103,85
15,707,3,35,49,167,88
16,588,0,16,74,238,107
17,757,1,133,159,325,112
18,2130,1,34,186,278,117
19,3026,1,164,202,408,115
20,2446,1,24,195,535,86
21,1390,0,110,199,511,87
22,708,2,11,151,411,69
23,273,0,59,152,333,61
24,91,0,3,110,276,23
25,35,0,5,235,549,0
26,0,0,0,23,31,0
27,1,0,0,5,1,0
28,1,0,0,2,0,0
29,0,0,0,0,0,0
30,8,0,0,1,1,0
