hour,numPassengers,vkt
7,0,251.653
7,1,3361.432
8,0,1171.3349999999998
8,1,23888.887000000002
9,0,626.712
9,1,2176.054
10,0,443.00700000000006
10,1,27456.549999999996
11,0,869.452
11,1,51943.113
12,0,7159.853
12,1,64953.846000000005
13,0,4510.080000000002
13,1,100841.45700000001
14,0,2991.3540000000003
14,1,136155.01799999995
15,0,6450.357
15,1,301305.51899999985
16,0,14815.075000000008
16,1,530016.373
17,0,18613.117000000017
17,1,758977.6610000001
18,0,23338.97299999998
18,1,1004293.8279999994
19,0,27058.862
19,1,999428.692999999
20,0,28080.066
20,1,1032552.5129999991
21,0,32781.29099999997
21,1,1174034.534999999
22,0,21643.809000000005
22,1,865708.1969999999
23,0,15300.487000000008
23,1,723049.8429999995
24,0,71745.95099999997
24,1,1553280.5699999994
25,0,16934.027
25,1,567565.3389999997
26,0,4375.079
26,1,85984.627
27,0,472.677
27,1,12520.573
28,0,0.0
28,1,5432.581
29,0,832.245
29,1,6533.374
