,pop,n_hh,avg_pop_per_hh,avg_veh_per_hh,avg_veh_per_hh_new,median_age,median_age_new,median_ind_income,median_ind_income_new,median_hh_income,median_hh_income_new,median_vot,median_vot_new,perc_eve_events,perc_eve_events_new,perc_excl_car,perc_excl_car_new
100,134,52,2.576923076923077,3.3076923076923075,1.8461538461538463,33.0,33.0,9158.954286418684,9158.955,39300.0,39300.0,18.0,4.61827324393597,0.0,0.0,0.0,19.402985074626866
1001,137,53,2.5849056603773586,3.3207547169811322,2.0943396226415096,39.0,39.0,13299.369888310659,13299.37,56000.0,56000.0,18.0,4.273348127671978,0.0,0.0,0.0,24.817518248175183
1002,1173,505,2.3227722772277226,3.3425742574257424,1.803960396039604,35.0,35.0,12000.0,12000.0,42000.00000000001,42000.0,18.0,4.825527521202673,0.0,0.0,0.0,19.948849104859335
10102,2004,626,3.2012779552715656,3.758785942492013,2.4456869009584663,31.0,31.0,9956.690491058209,9956.689999999999,65000.0,65000.0,18.0,4.918102422571565,0.0,0.0,0.0,29.191616766467067
10103,265,86,3.0813953488372094,3.686046511627907,2.1744186046511627,29.0,29.0,12000.0,12000.0,71799.99999999999,71800.0,18.0,6.1365181719866815,0.0,0.0,0.0,29.433962264150942
10104,2693,834,3.2290167865707433,3.63189448441247,2.2494004796163067,32.0,32.0,9000.0,9000.0,59700.0,59700.0,18.0,4.467892608030631,0.0,0.0,0.0,28.44411437059042
1101,1391,546,2.5476190476190474,3.2454212454212454,1.4761904761904763,39.0,39.0,9024.39024390244,9024.39,35600.0,35600.0,18.0,4.7522520235037815,0.0,0.0,0.0,20.776419841840404
1105,326,113,2.8849557522123894,3.3893805309734515,2.168141592920354,33.5,33.5,7632.9325474309935,7632.93,48700.0,48700.0,18.0,5.056043385099951,0.0,0.0,0.0,22.699386503067483
1106,392,153,2.5620915032679736,3.5359477124183005,2.0915032679738563,39.0,39.0,20058.604712492757,20058.605,69999.99999999997,70000.0,18.0,4.457941062476316,0.0,0.0,0.0,21.1734693877551
1107,156,64,2.4375,3.1875,1.9375,43.0,43.0,17664.67277241275,17664.675,47350.0,47350.0,18.0,4.497720942270857,0.0,0.0,0.0,14.743589743589743
1108,278,95,2.9263157894736844,3.642105263157895,2.0842105263157893,37.0,37.0,7073.342541436465,7073.345,42000.0,42000.0,18.0,5.11244618930688,0.0,0.0,0.0,25.899280575539567
1200,1178,430,2.73953488372093,3.2093023255813953,1.6906976744186046,38.0,38.0,9345.811051693403,9345.810000000001,47000.0,47000.0,18.0,4.657318931665381,0.0,0.0,0.0,23.93887945670628
1500,215,79,2.721518987341772,3.1772151898734178,1.7341772151898733,40.0,40.0,7866.323907455015,7866.32,45999.99999999999,46000.0,18.0,5.229319291879607,0.0,0.0,0.0,20.930232558139537
1600,126,49,2.5714285714285716,3.673469387755102,2.0,46.0,46.0,17257.7250493884,17257.725,60500.0,60500.0,18.0,4.998283442779174,0.0,0.0,0.0,19.047619047619047
1700,101,42,2.4047619047619047,3.261904761904762,1.880952380952381,48.0,48.0,19980.633484162896,19980.63,54900.0,54900.0,18.0,5.145905432056846,0.0,0.0,0.0,14.851485148514852
1801,320,110,2.909090909090909,3.3636363636363638,1.9,39.0,39.0,7806.14474562746,7806.145,52540.0,52540.0,18.0,4.767030082017648,0.0,0.0,0.0,27.5
1803,252,92,2.739130434782609,3.5760869565217392,2.1847826086956523,35.0,35.0,12152.605042016805,12152.605,52840.0,52840.0,18.0,4.425565854599536,0.0,0.0,0.0,25.396825396825395
1804,923,336,2.7470238095238093,3.6041666666666665,1.9761904761904763,39.0,39.0,12959.918433931487,12959.92,61315.0,61315.0,18.0,5.329765048012412,0.0,0.0,0.0,22.318526543878658
1901,424,144,2.9444444444444446,3.326388888888889,1.9097222222222223,42.0,42.0,7672.026431718061,7672.025,48860.0,48860.0,18.0,5.4025250182244555,0.0,0.0,0.0,25.235849056603772
1902,232,94,2.4680851063829787,3.4574468085106385,2.127659574468085,41.0,41.0,14727.354432117947,14727.355,60000.0,60000.0,18.0,4.7347529291822035,0.0,0.0,0.0,15.948275862068966
201,180,71,2.535211267605634,3.028169014084507,1.647887323943662,40.0,40.0,9265.475152571926,9265.475,41999.999999999985,42000.0,18.0,3.576074314816855,0.0,0.0,0.0,13.88888888888889
202,136,54,2.5185185185185186,3.2777777777777777,1.6666666666666667,29.0,29.0,4721.726190476191,4721.725,34799.99999999999,34800.0,18.0,3.7749468856283297,0.0,0.0,0.0,30.88235294117647
300,112,60,1.8666666666666667,3.4,1.5833333333333333,37.0,37.0,18991.055969734058,18991.055,40000.0,40000.0,18.0,3.9549053142838773,0.0,0.0,0.0,14.285714285714286
401,160,65,2.4615384615384617,3.0923076923076924,1.7846153846153847,31.5,31.5,10285.289247369263,10285.29,38100.0,38100.0,18.0,4.3976122536162885,0.0,0.0,0.0,23.75
405,126,54,2.3333333333333335,3.425925925925926,1.8148148148148149,46.0,46.0,13657.926829268292,13657.925,44249.99999999999,44250.0,18.0,4.6934926512719475,0.0,0.0,0.0,19.047619047619047
406,120,48,2.5,3.375,1.6458333333333333,32.0,32.0,14355.702661667647,14355.705,50250.0,50250.0,18.0,7.190833745792233,0.0,0.0,0.0,23.333333333333332
407,123,51,2.411764705882353,3.5098039215686274,2.0980392156862746,42.0,42.0,11797.549994465708,11797.55,35000.00000000001,35000.0,18.0,5.494788189853215,0.0,0.0,0.0,24.390243902439025
408,155,69,2.246376811594203,3.3333333333333335,1.5217391304347827,47.0,47.0,16496.815286624198,16496.82,60000.0,60000.0,18.0,5.364858579101605,0.0,0.0,0.0,14.838709677419354
500,126,52,2.423076923076923,3.1346153846153846,1.6730769230769231,38.0,38.0,11313.157894736842,11313.16,31400.000000000004,31400.0,18.0,5.265306531325192,0.0,0.0,0.0,19.047619047619047
600,698,270,2.585185185185185,3.2888888888888888,1.6592592592592592,31.0,31.0,8667.735642163476,8667.735,39550.0,39550.0,18.0,4.9900603549825435,0.0,0.0,0.0,26.50429799426934
700,182,81,2.246913580246914,3.037037037037037,1.5061728395061729,39.5,39.5,10147.357906138071,10147.36,30799.999999999993,30800.0,18.0,4.24473589504885,0.0,0.0,0.0,19.78021978021978
900,164,71,2.3098591549295775,3.563380281690141,1.8028169014084507,39.0,39.0,9592.372881355932,9592.375,48500.0,48500.0,18.0,3.675692633194935,0.0,0.0,0.0,17.682926829268293
